id,last_modified,code,name,address_complete,contact_phone,contact_email,related_url,capacity,lat,lon
1,19/05/2022,101,Affittacamere Countryhouse Rosael,"Strada Prov. 59, 123 - Alberese (GR)",+39 0564 405184,info@countryhouserosael.com,,Camere: 3,42.696558,11.111519
2,19/05/2022,81,Affittacamere da Carolina,"Via del Sorbino, 37 - Alberese (GR)",+39 0564 407118,affittacameredacarolina@gmail.com,,,42.67776075124229,11.112975689931595
3,19/05/2022,56,Affittacamere Podere Gorizia,"Strada del Sorbino, 1 - Alberese (GR)",+39 320 8274174,poderegorizia@alice.it,,Posti letto: 3,45.9401812,13.6201754
4,19/05/2022,86,Agri-ristoro Stuzzicheria Pavin,"Strada Provinciale 59, Km 4 + 410 - Alberese (GR)",+39 324 8253811,az.ag_pavin@yahoo.it,,,42.681017493922894,11.098921556081205
5,19/05/2022,112,Agribiologioca Le Tofane,"Strada Provinciale, 59 - Podere Le Tofane,40 (Alberese)",+39 333 6255797,marika.francioli@gmail.com,,Posti letto: 4,42.6430816,11.1238282
6,19/05/2022,1,Agriturismo Al Vermigliano,"Via del Sorbino, 54 - Alberese",+39 0564 407106,info@agriturismoalvermigliano.it,https://www.agriturismoalvermigliano.it,Posti letto: 12,42.6788749,11.1189346
7,19/05/2022,36,Agriturismo Allegro,"Podere Spalato, str. Pianacce, 131",+39 0564 407115,info@agriturismoallegro.com,https://www.agriturismoallegro.com,Posti letto: 15,42.6539392,11.1357608
8,19/05/2022,106,Agriturismo Andar Lento,"Via Trappolaccia, 22 - Principina a Mare",+39 347 5767389,info@agriturismoandarlento.com,,Posti letto: 6,42.6944139,11.0411659
9,19/05/2022,11,Agriturismo Benessere - Villa Bellavista Argentario,"Strada Vicinale delle Querciolaie, n°4 (Fonteblanda)",+39 0564 885436,villabellavista.argentario@gmail.com,https://www.villamagra.it,Posti letto: 18,42.59322580000001,11.2125726
10,19/05/2022,43,Agriturismo Buonavista,Strada Vallemaggiore 58100 Rispescia (GR),+39 339 1543237,infotiscali@agriturismobuonavista.it,https://www.agriturismobuonavista.it,Posti letto: 14,42.6914963,11.1688805
11,19/05/2022,113,Agriturismo Buratta,"Strada Vicinale delle Casacce, 55- Talamone (Orbetello)",+39 0564 885614,agriturismo@buratta.com,https://www.buratta.com/,,42.5860861,11.1443103
12,19/05/2022,82,Agriturismo Canal,"Strada del Molinaccio, 83 - Alberese (GR)",+39 338 2114258,info@agriturismocanale.com,,Posti letto: 9,42.67013534338587,11.112093344483856
13,19/05/2022,96,Agriturismo Canale,"Via del Molinaccio, 83, Alberese, Grosseto",+39 338 2114258,info@agriturismocanale.com,https://www.agriturismocanale.com,Posti letto: 9,42.67723672405505,11.13399122975205
14,19/05/2022,18,Agriturismo Carpine,"Poggio Macchiese, Podere Carpine, Ss. 1 Aurelia, n°30, Km 168 + 240 m nord",+39 347 1843559,info@carpine.eu,http://www.carpine.eu,Posti letto: 6,42.6506151,11.1450586
15,19/05/2022,74,Agriturismo Casazella,"Strada Provinciale 59, Podere Doberdò, 86 - Alberese (GR)",+39 0564 407184,federica.zella@libero.it,,,42.66162283587196,11.110268173020321
16,19/05/2022,105,Agriturismo Cava Zuccherina,"Strada del Mare, n°35- Alberese 58100 (GR)",+39 0564 407191,giulianonocchi@libero.it,,Posti letto: 7,42.751673,11.112363
17,19/05/2022,18,Agriturismo Cavone,Loc. Cupi di Montiano - Magliano,+39 0564 589979,poderecavone@tiscali.it,https://www.poderecavone.com,Posti letto: 12,42.6542448,11.6718623
18,19/05/2022,40,Agriturismo Colberetta,"Loc. via di valle giardino, 21 - 58010 Alberese (Gr)",+39 0564 412800,f.maggiotto@alice.it,https://www.colberetta.it,Posti letto: 6,42.65859006033024,11.118177789955348
19,19/05/2022,51,Agriturismo Cupido,Località Cupi n.30 frazione di Montiano - Magliano in Toscana,+39 0564 589973,info@agricupido.it,https://www.agricupido.it,Posti letto: 7,42.6439543,11.1648737
20,19/05/2022,104,Agriturismo El Molino,"Strada statale Aurelia 298 (loc. Laschi) Orbetello, 58015",+39 0564 885797,info@elmolino.it,https://www.elmolino.it,Posti letto: 22 - Posti tavola per pasti: 30,42.5958633,11.1607065
21,19/05/2022,69,Agriturismo Fattoria Vecchia,"Via Fattoria Vecchia, 1028 - Rispescia (GR)",+39 0564 405373,valeria.capoduri@gmail.com,https://www.fattoriavecchia.com,,42.7108497,11.1406888
22,19/05/2022,49,Agriturismo Femminella,"Loc. Strada Provinciale, 40 - Marina di Grosseto",+39 0564 31179,info@ombrone.it,http://www.ombrone.it,,42.7023779559221,11.025280703015499
23,19/05/2022,4,Agriturismo Fiume,"Strada Barbicato, 120- Alberese",+39 0564 405183,agriturismofiume@gmail.com,https://www.agriturismofiumealberese.it/,,42.6870796,11.1337208
24,19/05/2022,62,Agriturismo Fusini,"Localita' Collecchio, 38 - Magliano in Toscana (GR)",+39 0564 596040,info@agriturismofusini.it,https://www.agriturismofusini.it,Posti letto: 20,42.6111449,11.1419658
25,19/05/2022,42,Agriturismo Giardino di Maremma,Str. Comunale di Valle Giardino n. 1 - Alberese (GR),+39 0564 407279,postmaster@giardinodimaremma.it,https://www.giardinodimaremma.it,Posti letto: 8,42.6588435,11.117691
26,19/05/2022,31,Agriturismo Il Giardino di Sofia,"Strada di Cupi, 1, località Rispescia - 58010 Rispescia (Gr)",+39 0564 407012,info@ilgiardinodisofia.com,https://www.ilgiardinodisofia.com,Posti letto: 9,42.67013534338587,11.112093344483856
27,19/05/2022,41,Casa Vacanze il Girasole,Centro Nazionale per lo Sviluppo Sostenibile Loc. Enaoli 58010 Rispescia (GR),+39 0564 487711,info@legambienteilgirasole.it,https://www.legambienteilgirasole.it,Posti letto: 105,42.67013534338587,11.112093344483856
28,19/05/2022,48,Agriturismo Giuncola e Granaiolo,"Località Giuncola, 361 - Rispescia (GR)",+39 0564 405922,info@giuncola.it,https://www.giuncola.it,,42.7075,11.1163889
